LONG,LAT
9.3498486,56.7408757
9.3501884,56.7406785
9.3505485,56.7405445
9.3508058,56.7404845
9.3510534,56.7404863
9.3514747,56.7405022
9.3521273,56.7405585
9.3524201,56.7405974
9.3525839,56.7406290
9.3527255,56.7406626
9.3530759,56.7408002
9.3534040,56.7409042
9.3537287,56.7409995
9.3541790,56.7410594
9.3545810,56.7411511
9.3547868,56.7412058
9.3551147,56.7412693
9.3553365,56.7412905
9.3555810,56.7412975
8.5856624,57.0106364
8.5851822,57.0099725
8.5834239,57.0089128
8.5831331,57.0085517
8.5825621,57.0078424
8.5825197,57.0077898
8.5818832,57.0069995
8.5812759,57.0062707
8.5617847,57.0231006
8.5610765,57.0227781
8.5605030,57.0228637
8.5595327,57.0230085
8.5052981,57.0427326
8.5053563,57.0452650
8.5038165,57.0452699
8.5038165,57.0452699
8.5058627,57.0443316
8.5064511,57.0444156
8.5066534,57.0444345
8.5069191,57.0444476
8.5070322,57.0444408
8.5071685,57.0444222
8.5073621,57.0443894
8.5075176,57.0443477
8.5076101,57.0443768
8.5076473,57.0444173
8.5076518,57.0445107
8.5075176,57.0443477
8.5075775,57.0443127
8.5076333,57.0442689
8.5076580,57.0442150
8.5076612,57.0441594
8.5077825,57.0434855
8.5078162,57.0434553
8.5109209,57.0415404
8.5105537,57.0412931
8.5104987,57.0407147
8.5108529,57.0405045
8.5090345,57.0402727
8.5093407,57.0400268
8.5103032,57.0398273
8.5120992,57.0395103
8.5135412,57.0392283
8.5138592,57.0391655
8.5147731,57.0389894
8.5138592,57.0391655
8.5135412,57.0392283
8.5135308,57.0390770
8.5133852,57.0388947
8.5128028,57.0385506
8.5126942,57.0383380
8.5125974,57.0381735
9.9801245,56.6303015
9.9825810,56.6305181
9.9867007,56.6312617
9.9930909,56.6332391
9.9934128,56.6333452
9.9953483,56.6335630
9.9959662,56.6336758
9.9971721,56.6339171
9.9977471,56.6340534
9.9987815,56.6342829
9.9991890,56.6342829
9.9997900,56.6342356
10.0000475,56.6340941
9.9928806,56.6348140
9.9931595,56.6347078
9.9933096,56.6345307
9.9938677,56.6341767
9.9945973,56.6338817
9.9952796,56.6336639
8.5040581,57.0349732
8.5046510,57.0347101
8.5050406,57.0343910
8.5054410,57.0341125
8.5058769,57.0340657
8.5061440,57.0341627
8.5047652,57.0361494
8.5054694,57.0358438
8.5062670,57.0356320
8.5059781,57.0352725
8.5062670,57.0356320
8.5076550,57.0353607
8.5078432,57.0350270
8.5076550,57.0353607
8.5079715,57.0354688
8.5095782,57.0384223
8.5034799,57.0340040
8.5031724,57.0340392
8.5022901,57.0342288
8.5031724,57.0340392
8.5001263,57.0330286
8.4964619,57.0337013
8.4956918,57.0338587
8.4937439,57.0346384
8.4928182,57.0349844
8.4924457,57.0350524
8.4935610,57.0383121
8.4945638,57.0382570
8.4950533,57.0382219
8.4951614,57.0385264
8.4952613,57.0387225
8.4955789,57.0387604
8.4950533,57.0382219
8.4951316,57.0377045
8.4934561,57.0388635
8.4932023,57.0388068
8.4915196,57.0348166
8.4891618,57.0355816
8.4888485,57.0356551
8.4882028,57.0357096
8.4868158,57.0359197
8.4860267,57.0360844
8.4855818,57.0361930
8.4842823,57.0365102
8.4868158,57.0359197
8.5130168,57.0380911
8.5121478,57.0371778
8.4945638,57.0382570
8.4936964,57.0374783
8.4935132,57.0374882
8.4916210,57.0379374
8.4900758,57.0383087
8.4885555,57.0387995
8.4884066,57.0389429
8.4885659,57.0393508
8.4884962,57.0394419
8.4881143,57.0395223
9.5027170,56.6149230
9.8600316,57.0699237
9.8592863,57.0697554
9.8592865,57.0694573
9.8733289,57.0626141
9.9849413,56.6287241
10.0027940,56.6391678
10.0015710,56.6408315
10.0011632,56.6410793
10.0009700,56.6412209
10.0006912,56.6414215
10.0005366,56.6414993
10.0002834,56.6414569
10.0000904,56.6415277
9.9997471,56.6421530
9.9995969,56.6422592
9.9993778,56.6422309
9.9971463,56.6415701
9.9967001,56.6411973
9.9964641,56.6411383
9.9888895,56.6423181
9.9879453,56.6421766
10.0014851,56.6341059
10.0014208,56.6366785
10.0015925,56.6369145
10.0019142,56.6373512
10.0019572,56.6375400
10.0020216,56.6377406
10.0025794,56.6389907
10.0027940,56.6391678
10.0032661,56.6392976
10.0058839,56.6400173
10.0074289,56.6404421
10.0086520,56.6409023
10.0090596,56.6411973
10.0092314,56.6413742
8.5035903,57.0341360
10.0003907,56.6305417
9.9999143,56.6317521
10.0002406,56.6321350
10.0002406,56.6323711
10.0000861,56.6334160
10.0677356,56.8033692
10.0679930,56.8033868
10.0681969,56.8034103
10.0683996,56.8034556
10.0685187,56.8035807
10.0685928,56.8036788
10.0686249,56.8037728
10.0685401,56.8039214
10.0684329,56.8040565
10.0684210,56.8041311
10.0685390,56.8042074
10.0687333,56.8042914
10.0689588,56.8043089
10.0692217,56.8043530
10.0696508,56.8044381
10.0700800,56.8045351
10.0706219,56.8046555
10.0709853,56.8047449
10.0712535,56.8048066
10.0714211,56.8048523
10.0884102,56.8043354
10.0881367,56.8043265
10.0878578,56.8042795
10.0877129,56.8042678
10.0876109,56.8043060
10.0867793,56.8050050
10.0861249,56.8055424
10.0781801,56.8034219
9.5685446,57.0522153
9.5693017,57.0536100
9.5679435,57.0536799
9.4459406,56.6202037
9.4460050,56.6200946
9.4461132,56.6200191
9.4462142,56.6199618
9.4463062,56.6198805
9.4463161,56.6198231
9.4463216,56.6197640
9.4462634,56.6196739
9.4421319,56.6170456
9.4419442,56.6179695
9.4418860,56.6182689
9.4418209,56.6183680
9.4416707,56.6184329
9.4413433,56.6185184
9.4393218,56.6190541
9.4379377,56.6194466
9.4376750,56.6195351
9.4376365,56.6195781
9.9780988,57.0303709
9.9776683,57.0303905
9.9771280,57.0304105
9.9770036,57.0304165
9.9768982,57.0304215
9.9753050,57.0304977
9.9744942,57.0305612
9.9738360,57.0306556
9.9732702,57.0307863
9.9793703,57.0301985
9.9795632,57.0301891
9.9812198,57.0301097
9.9872421,57.0298284
9.9881274,57.0297892
9.9893175,57.0297452
9.9894907,57.0297329
9.9902474,57.0296839
9.9916817,57.0295407
