col1,col2,Cluster
664159.0000000,550946.0000000,cluster_12
665845.0000000,557965.0000000,cluster_12
597173.0000000,575538.0000000,cluster_9
618600.0000000,551446.0000000,cluster_9
635690.0000000,608046.0000000,cluster_12
588100.0000000,557588.0000000,cluster_9
582015.0000000,546191.0000000,cluster_9
604678.0000000,574577.0000000,cluster_9
572029.0000000,518313.0000000,cluster_7
604737.0000000,574591.0000000,cluster_9
577728.0000000,587566.0000000,cluster_9
602013.0000000,574722.0000000,cluster_9
627968.0000000,574625.0000000,cluster_9
607269.0000000,536961.0000000,cluster_7
603145.0000000,574795.0000000,cluster_9
671919.0000000,571761.0000000,cluster_12
612184.0000000,570393.0000000,cluster_9
600032.0000000,575310.0000000,cluster_9
627912.0000000,593892.0000000,cluster_9
601967.0000000,604428.0000000,cluster_14
591851.0000000,569051.0000000,cluster_9
601444.0000000,572693.0000000,cluster_9
629718.0000000,558104.0000000,cluster_9
661430.0000000,603567.0000000,cluster_12
597551.0000000,556737.0000000,cluster_9
601182.0000000,582584.0000000,cluster_9
562704.0000000,570596.0000000,cluster_9
605107.0000000,563429.0000000,cluster_9
607214.0000000,575069.0000000,cluster_9
568824.0000000,570203.0000000,cluster_9
612485.0000000,518009.0000000,cluster_7
589244.0000000,573777.0000000,cluster_9
625579.0000000,551084.0000000,cluster_9
560237.0000000,500154.0000000,cluster_7
626224.0000000,569687.0000000,cluster_9
610666.0000000,551701.0000000,cluster_9
597428.0000000,569940.0000000,cluster_9
600582.0000000,599535.0000000,cluster_14
604168.0000000,555003.0000000,cluster_9
613871.0000000,550423.0000000,cluster_9
617310.0000000,551945.0000000,cluster_9
625728.0000000,579460.0000000,cluster_9
606300.0000000,566708.0000000,cluster_9
638559.0000000,558807.0000000,cluster_12
582176.0000000,630383.0000000,cluster_14
544056.0000000,577786.0000000,cluster_9
631297.0000000,578351.0000000,cluster_9
561574.0000000,621747.0000000,cluster_14
604973.0000000,574773.0000000,cluster_9
605284.0000000,556134.0000000,cluster_9
617910.0000000,592293.0000000,cluster_9
555904.0000000,640401.0000000,cluster_14
