LONG,LAT,Cluster
9.3498486,56.7408757,cluster_0
9.3501884,56.7406785,cluster_0
9.3505485,56.7405445,cluster_0
9.3508058,56.7404845,cluster_0
9.3510534,56.7404863,cluster_0
9.3514747,56.7405022,cluster_0
9.3521273,56.7405585,cluster_0
9.3524201,56.7405974,cluster_0
9.3525839,56.7406290,cluster_0
9.3527255,56.7406626,cluster_0
9.3530759,56.7408002,cluster_0
9.3534040,56.7409042,cluster_0
9.3537287,56.7409995,cluster_0
9.3541790,56.7410594,cluster_0
9.3545810,56.7411511,cluster_0
9.3547868,56.7412058,cluster_0
9.3551147,56.7412693,cluster_0
9.3553365,56.7412905,cluster_0
9.3555810,56.7412975,cluster_0
8.5856624,57.0106364,cluster_0
8.5851822,57.0099725,cluster_0
8.5834239,57.0089128,cluster_0
8.5831331,57.0085517,cluster_0
8.5825621,57.0078424,cluster_0
8.5825197,57.0077898,cluster_0
8.5818832,57.0069995,cluster_0
8.5812759,57.0062707,cluster_0
8.5617847,57.0231006,cluster_0
8.5610765,57.0227781,cluster_0
8.5605030,57.0228637,cluster_0
8.5595327,57.0230085,cluster_0
8.5052981,57.0427326,cluster_0
8.5053563,57.0452650,cluster_0
8.5038165,57.0452699,cluster_0
8.5038165,57.0452699,cluster_0
8.5058627,57.0443316,cluster_0
8.5064511,57.0444156,cluster_0
8.5066534,57.0444345,cluster_0
8.5069191,57.0444476,cluster_0
8.5070322,57.0444408,cluster_0
8.5071685,57.0444222,cluster_0
8.5073621,57.0443894,cluster_0
8.5075176,57.0443477,cluster_0
8.5076101,57.0443768,cluster_0
8.5076473,57.0444173,cluster_0
8.5076518,57.0445107,cluster_0
8.5075176,57.0443477,cluster_0
8.5075775,57.0443127,cluster_0
8.5076333,57.0442689,cluster_0
8.5076580,57.0442150,cluster_0
8.5076612,57.0441594,cluster_0
8.5077825,57.0434855,cluster_0
8.5078162,57.0434553,cluster_0
8.5109209,57.0415404,cluster_0
8.5105537,57.0412931,cluster_0
8.5104987,57.0407147,cluster_0
8.5108529,57.0405045,cluster_0
8.5090345,57.0402727,cluster_0
8.5093407,57.0400268,cluster_0
8.5103032,57.0398273,cluster_0
8.5120992,57.0395103,cluster_0
8.5135412,57.0392283,cluster_0
8.5138592,57.0391655,cluster_0
8.5147731,57.0389894,cluster_0
8.5138592,57.0391655,cluster_0
8.5135412,57.0392283,cluster_0
8.5135308,57.0390770,cluster_0
8.5133852,57.0388947,cluster_0
8.5128028,57.0385506,cluster_0
8.5126942,57.0383380,cluster_0
8.5125974,57.0381735,cluster_0
9.9801245,56.6303015,cluster_0
9.9825810,56.6305181,cluster_0
9.9867007,56.6312617,cluster_0
9.9930909,56.6332391,cluster_0
9.9934128,56.6333452,cluster_0
9.9953483,56.6335630,cluster_0
9.9959662,56.6336758,cluster_0
9.9971721,56.6339171,cluster_0
9.9977471,56.6340534,cluster_0
9.9987815,56.6342829,cluster_0
9.9991890,56.6342829,cluster_0
9.9997900,56.6342356,cluster_0
10.0000475,56.6340941,cluster_0
9.9928806,56.6348140,cluster_0
9.9931595,56.6347078,cluster_0
9.9933096,56.6345307,cluster_0
9.9938677,56.6341767,cluster_0
9.9945973,56.6338817,cluster_0
9.9952796,56.6336639,cluster_0
8.5040581,57.0349732,cluster_0
8.5046510,57.0347101,cluster_0
8.5050406,57.0343910,cluster_0
8.5054410,57.0341125,cluster_0
8.5058769,57.0340657,cluster_0
8.5061440,57.0341627,cluster_0
8.5047652,57.0361494,cluster_0
8.5054694,57.0358438,cluster_0
8.5062670,57.0356320,cluster_0
8.5059781,57.0352725,cluster_0
