col1,col2,Cluster
664159.00,550946.00,cluster_12
665845.00,557965.00,cluster_12
597173.00,575538.00,cluster_9
618600.00,551446.00,cluster_9
635690.00,608046.00,cluster_12
588100.00,557588.00,cluster_9
582015.00,546191.00,cluster_9
604678.00,574577.00,cluster_9
572029.00,518313.00,cluster_7
604737.00,574591.00,cluster_9
577728.00,587566.00,cluster_9
602013.00,574722.00,cluster_9
627968.00,574625.00,cluster_9
607269.00,536961.00,cluster_7
603145.00,574795.00,cluster_9
671919.00,571761.00,cluster_12
612184.00,570393.00,cluster_9
600032.00,575310.00,cluster_9
627912.00,593892.00,cluster_9
601967.00,604428.00,cluster_14
591851.00,569051.00,cluster_9
601444.00,572693.00,cluster_9
629718.00,558104.00,cluster_9
661430.00,603567.00,cluster_12
597551.00,556737.00,cluster_9
601182.00,582584.00,cluster_9
562704.00,570596.00,cluster_9
605107.00,563429.00,cluster_9
607214.00,575069.00,cluster_9
568824.00,570203.00,cluster_9
612485.00,518009.00,cluster_7
589244.00,573777.00,cluster_9
625579.00,551084.00,cluster_9
560237.00,500154.00,cluster_7
626224.00,569687.00,cluster_9
610666.00,551701.00,cluster_9
597428.00,569940.00,cluster_9
600582.00,599535.00,cluster_14
604168.00,555003.00,cluster_9
613871.00,550423.00,cluster_9
617310.00,551945.00,cluster_9
625728.00,579460.00,cluster_9
606300.00,566708.00,cluster_9
638559.00,558807.00,cluster_12
582176.00,630383.00,cluster_14
544056.00,577786.00,cluster_9
631297.00,578351.00,cluster_9
561574.00,621747.00,cluster_14
604973.00,574773.00,cluster_9
605284.00,556134.00,cluster_9
617910.00,592293.00,cluster_9
555904.00,640401.00,cluster_14
526559.00,509417.00,cluster_7
603849.00,572396.00,cluster_9
598634.00,619900.00,cluster_14
603359.00,589262.00,cluster_9
657455.00,567754.00,cluster_12
614279.00,599251.00,cluster_14
578496.00,631434.00,cluster_14
645171.00,595209.00,cluster_12
688015.00,533535.00,cluster_12
656477.00,573007.00,cluster_12
540029.00,563888.00,cluster_9
597418.00,538362.00,cluster_9
613545.00,574733.00,cluster_9
628696.00,542447.00,cluster_7
604157.00,574191.00,cluster_9
603126.00,497987.00,cluster_7
605850.00,533310.00,cluster_7
596179.00,529556.00,cluster_7
610330.00,552628.00,cluster_9
598184.00,531473.00,cluster_7
620438.00,511694.00,cluster_7
600202.00,622079.00,cluster_14
603021.00,577991.00,cluster_9
515612.00,540643.00,cluster_9
606548.00,574376.00,cluster_9
593490.00,623110.00,cluster_14
607084.00,595500.00,cluster_9
583728.00,563146.00,cluster_9
616044.00,533807.00,cluster_7
624452.00,584622.00,cluster_9
604438.00,574666.00,cluster_9
625709.00,660145.00,cluster_14
601376.00,579831.00,cluster_9
565148.00,557305.00,cluster_9
639418.00,537903.00,cluster_7
612799.00,537497.00,cluster_7
583653.00,652182.00,cluster_14
599808.00,596484.00,cluster_9
605250.00,573272.00,cluster_9
606738.00,601356.00,cluster_14
611044.00,571814.00,cluster_9
575440.00,568511.00,cluster_9
616329.00,529516.00,cluster_7
605927.00,572533.00,cluster_9
609286.00,586782.00,cluster_9
647354.00,579190.00,cluster_12
606929.00,571420.00,cluster_9
562920.00,559223.00,cluster_9
680357.00,620811.00,cluster_12
707100.00,601463.00,cluster_12
604294.00,574368.00,cluster_9
614917.00,600946.00,cluster_14
611508.00,503220.00,cluster_7
603789.00,574474.00,cluster_9
551740.00,588768.00,cluster_9
546031.00,570429.00,cluster_9
569197.00,559307.00,cluster_9
688712.00,568754.00,cluster_12
604067.00,574091.00,cluster_9
606809.00,572101.00,cluster_9
588597.00,622592.00,cluster_14
613840.00,534167.00,cluster_7
576263.00,547239.00,cluster_9
597077.00,568196.00,cluster_9
601339.00,571609.00,cluster_9
606011.00,569426.00,cluster_9
593398.00,559764.00,cluster_9
593166.00,622725.00,cluster_14
609796.00,532982.00,cluster_7
712648.00,607541.00,cluster_12
585048.00,505097.00,cluster_7
525967.00,565687.00,cluster_9
660327.00,585901.00,cluster_12
607604.00,573951.00,cluster_9
604001.00,573587.00,cluster_9
591484.00,571087.00,cluster_9
613868.00,585089.00,cluster_9
645464.00,660478.00,cluster_14
538571.00,654649.00,cluster_14
555429.00,604551.00,cluster_14
597620.00,586226.00,cluster_9
586097.00,567445.00,cluster_9
545235.00,539822.00,cluster_9
649088.00,575733.00,cluster_12
599123.00,616977.00,cluster_14
563763.00,559454.00,cluster_9
617717.00,613939.00,cluster_14
618869.00,577243.00,cluster_9
567188.00,560044.00,cluster_9
636628.00,533309.00,cluster_7
560362.00,567914.00,cluster_9
595014.00,632844.00,cluster_14
605876.00,550640.00,cluster_9
604352.00,573425.00,cluster_9
600679.00,599545.00,cluster_14
596891.00,579476.00,cluster_9
614943.00,540976.00,cluster_7
604415.00,571400.00,cluster_9
603698.00,573585.00,cluster_9
658199.00,568743.00,cluster_12
598759.00,582942.00,cluster_9
671269.00,590258.00,cluster_12
593317.00,534085.00,cluster_7
657985.00,453405.00,cluster_3
608557.00,590278.00,cluster_9
623004.00,508050.00,cluster_7
601900.00,569391.00,cluster_9
641031.00,593074.00,cluster_12
589658.00,640498.00,cluster_14
567565.00,573952.00,cluster_9
559078.00,570088.00,cluster_9
639431.00,588155.00,cluster_12
566609.00,537592.00,cluster_9
568570.00,579335.00,cluster_9
660650.00,615038.00,cluster_12
667639.00,571164.00,cluster_12
596796.00,529933.00,cluster_7
606111.00,617846.00,cluster_14
616060.00,590779.00,cluster_9
602873.00,527864.00,cluster_7
571334.00,594145.00,cluster_9
602167.00,543919.00,cluster_9
605100.00,573307.00,cluster_9
546640.00,560043.00,cluster_9
585195.00,555011.00,cluster_9
651740.00,589474.00,cluster_12
589112.00,536573.00,cluster_9
582057.00,543124.00,cluster_9
690968.00,555952.00,cluster_12
609030.00,552436.00,cluster_9
632125.00,541413.00,cluster_7
603445.00,630598.00,cluster_14
628264.00,616214.00,cluster_14
577242.00,574073.00,cluster_9
604090.00,574392.00,cluster_9
607911.00,576556.00,cluster_9
600665.00,638890.00,cluster_14
600117.00,539079.00,cluster_9
631182.00,565466.00,cluster_9
695646.00,652231.00,cluster_12
619445.00,567491.00,cluster_9
613191.00,571942.00,cluster_9
567428.00,580005.00,cluster_9
590583.00,623314.00,cluster_14
606289.00,670243.00,cluster_14
585175.00,574133.00,cluster_9
634967.00,579020.00,cluster_12
614615.00,574437.00,cluster_9
593061.00,579188.00,cluster_9
606933.00,576409.00,cluster_9
606587.00,573873.00,cluster_9
594084.00,629464.00,cluster_14
683697.00,581516.00,cluster_12
601530.00,577183.00,cluster_9
603055.00,589818.00,cluster_9
616561.00,619007.00,cluster_14
607463.00,477085.00,cluster_7
611581.00,572630.00,cluster_9
579712.00,568354.00,cluster_9
602887.00,595245.00,cluster_9
600039.00,557139.00,cluster_9
605913.00,579526.00,cluster_9
579773.00,568698.00,cluster_9
606324.00,544357.00,cluster_9
605958.00,573728.00,cluster_9
606144.00,575076.00,cluster_9
667472.00,570571.00,cluster_12
580048.00,565009.00,cluster_9
597802.00,576113.00,cluster_9
610263.00,574422.00,cluster_9
603855.00,575180.00,cluster_9
624369.00,532153.00,cluster_7
599870.00,591110.00,cluster_9
577167.00,617095.00,cluster_14
658403.00,611332.00,cluster_12
563460.00,480559.00,cluster_7
610980.00,522819.00,cluster_7
569422.00,567790.00,cluster_9
627727.00,578737.00,cluster_9
592804.00,584539.00,cluster_9
540783.00,626497.00,cluster_14
591823.00,639096.00,cluster_14
637323.00,549567.00,cluster_7
638078.00,629421.00,cluster_14
611315.00,560757.00,cluster_9
647103.00,573853.00,cluster_12
522993.00,595581.00,cluster_14
601187.00,531825.00,cluster_7
533799.00,564377.00,cluster_9
649034.00,528813.00,cluster_7
620975.00,564344.00,cluster_9
622407.00,583192.00,cluster_9
597026.00,642918.00,cluster_14
551291.00,576721.00,cluster_9
608768.00,610525.00,cluster_14
697959.00,614701.00,cluster_12
658281.00,582264.00,cluster_12
546632.00,599204.00,cluster_14
672565.00,564468.00,cluster_12
636500.00,587401.00,cluster_12
696144.00,548705.00,cluster_12
533551.00,582247.00,cluster_9
526802.00,551524.00,cluster_9
553038.00,606418.00,cluster_14
696601.00,603624.00,cluster_12
588964.00,597435.00,cluster_14
716139.00,621721.00,cluster_12
608529.00,586311.00,cluster_9
557378.00,567033.00,cluster_9
589994.00,610890.00,cluster_14
589344.00,563119.00,cluster_9
624415.00,515911.00,cluster_7
565483.00,551512.00,cluster_9
584895.00,574666.00,cluster_9
582777.00,542670.00,cluster_9
639394.00,576728.00,cluster_12
608298.00,573748.00,cluster_9
663578.00,586265.00,cluster_12
628080.00,562986.00,cluster_9
597421.00,554767.00,cluster_9
595193.00,576508.00,cluster_9
658103.00,572250.00,cluster_12
659529.00,498474.00,cluster_7
606415.00,581386.00,cluster_9
641976.00,577433.00,cluster_12
587466.00,564953.00,cluster_9
589180.00,595099.00,cluster_9
601885.00,573083.00,cluster_9
580561.00,528916.00,cluster_7
621726.00,578003.00,cluster_9
558817.00,576255.00,cluster_9
620213.00,574468.00,cluster_9
594010.00,570095.00,cluster_9
541976.00,512639.00,cluster_7
593840.00,578685.00,cluster_9
602667.00,575857.00,cluster_9
631446.00,561156.00,cluster_9
596481.00,567449.00,cluster_9
611318.00,581584.00,cluster_9
568546.00,564911.00,cluster_9
593865.00,572987.00,cluster_9
597017.00,575588.00,cluster_9
578804.00,573582.00,cluster_9
673750.00,594081.00,cluster_12
592714.00,553958.00,cluster_9
594029.00,586701.00,cluster_9
668502.00,563937.00,cluster_12
629533.00,537542.00,cluster_7
801539.00,318482.00,cluster_0
801667.00,318542.00,cluster_0
814045.00,332998.00,cluster_0
800479.00,321640.00,cluster_0
757470.00,224976.00,cluster_0
844536.00,424646.00,cluster_1
797105.00,316002.00,cluster_0
779956.00,271501.00,cluster_0
797205.00,313318.00,cluster_0
801323.00,316240.00,cluster_0
783666.00,262902.00,cluster_0
806131.00,312752.00,cluster_0
830658.00,368694.00,cluster_0
802482.00,335269.00,cluster_0
801910.00,325434.00,cluster_0
808062.00,337340.00,cluster_0
789833.00,304422.00,cluster_0
803603.00,327255.00,cluster_0
800865.00,312968.00,cluster_0
802237.00,318526.00,cluster_0
803959.00,315173.00,cluster_0
800123.00,312312.00,cluster_0
780927.00,285057.00,cluster_0
797242.00,324588.00,cluster_0
801551.00,320544.00,cluster_0
809182.00,319115.00,cluster_0
801931.00,317202.00,cluster_0
870801.00,476330.00,cluster_1
820327.00,352701.00,cluster_0
801093.00,317509.00,cluster_0
798523.00,324500.00,cluster_0
805237.00,318655.00,cluster_0
803375.00,311620.00,cluster_0
801441.00,323812.00,cluster_0
797313.00,317527.00,cluster_0
788220.00,301915.00,cluster_0
790395.00,300024.00,cluster_0
817135.00,349925.00,cluster_0
797787.00,301470.00,cluster_0
804630.00,332333.00,cluster_0
808710.00,330379.00,cluster_0
802111.00,320817.00,cluster_0
796375.00,309563.00,cluster_0
819768.00,346596.00,cluster_0
814605.00,354382.00,cluster_0
800565.00,319364.00,cluster_0
802089.00,313456.00,cluster_0
814401.00,341234.00,cluster_0
796609.00,319691.00,cluster_0
776131.00,248465.00,cluster_0
803464.00,329093.00,cluster_0
802646.00,317894.00,cluster_0
809550.00,327365.00,cluster_0
795322.00,311178.00,cluster_0
830450.00,393096.00,cluster_0
778414.00,260729.00,cluster_0
800041.00,318331.00,cluster_0
802814.00,320130.00,cluster_0
802738.00,312234.00,cluster_0
823913.00,369439.00,cluster_0
803386.00,318982.00,cluster_0
812869.00,346251.00,cluster_0
798904.00,324420.00,cluster_0
800447.00,331643.00,cluster_0
807446.00,342555.00,cluster_0
